dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.034866,6.591166,5.561567,3.996760,0.458516,-0.007570,5.772630
0.020000,10.104769,6.552018,5.641685,4.005929,0.458475,-0.002005,5.772749
0.020000,10.174841,6.512795,5.721987,4.015100,0.458547,0.003571,5.773051
0.020000,10.245087,6.473511,5.802473,4.024275,0.458729,0.009125,5.773536
0.020000,10.315517,6.434177,5.883142,4.033455,0.459022,0.014624,5.774205
0.020000,10.386138,6.394807,5.963995,4.042644,0.459422,0.020034,5.775058
0.020000,10.456956,6.355415,6.045032,4.051842,0.459929,0.025322,5.776095
0.020000,10.527980,6.316014,6.126253,4.061053,0.460538,0.030454,5.777316
0.020000,10.599217,6.276616,6.207658,4.070278,0.461246,0.035393,5.778722
0.020000,10.670674,6.237236,6.289249,4.079519,0.462048,0.040106,5.780312
0.020000,10.742361,6.197887,6.371024,4.088778,0.462939,0.044555,5.782087
0.020000,10.814283,6.158584,6.452985,4.098056,0.463913,0.048703,5.784049
0.020000,10.886449,6.119339,6.535133,4.107355,0.464963,0.052512,5.786196
0.020000,10.958868,6.080167,6.617466,4.116677,0.466082,0.055944,5.788529
0.020000,11.031545,6.041083,6.699986,4.126022,0.467261,0.058956,5.791050
0.020000,11.104490,6.002100,6.782694,4.135392,0.468492,0.061510,5.793758
0.020000,11.177710,5.963234,6.865590,4.144787,0.469763,0.063560,5.796653
0.020000,11.251212,5.924499,6.948674,4.154208,0.471064,0.065065,5.799738
0.020000,11.325004,5.885910,7.031947,4.163656,0.472407,0.067129,5.803011
0.020000,11.399095,5.847483,7.115410,4.173131,0.473734,0.066383,5.806473
0.020000,11.473490,5.809233,7.199063,4.182632,0.475030,0.064779,5.810126
0.020000,11.548198,5.771175,7.282906,4.192158,0.476323,0.064669,5.813969
0.020000,11.623226,5.733326,7.366940,4.201710,0.477578,0.062738,5.818004
0.020000,11.698581,5.695702,7.451166,4.211285,0.478778,0.059974,5.822229
0.020000,11.774270,5.658319,7.535583,4.220883,0.479904,0.056329,5.826647
0.020000,11.850300,5.621193,7.620193,4.230502,0.480939,0.051751,5.831257
0.020000,11.926677,5.584342,7.704996,4.240139,0.481863,0.046189,5.836060
0.020000,12.003409,5.547782,7.789992,4.249793,0.482655,0.039595,5.841056
0.020000,12.080500,5.511531,7.875181,4.259458,0.483293,0.031919,5.846245
0.020000,12.157957,5.475607,7.960564,4.269133,0.483755,0.023111,5.851628
0.020000,12.235787,5.440027,8.046140,4.278814,0.484018,0.013126,5.857204
0.020000,12.313993,5.404810,8.131910,4.288495,0.484056,0.001918,5.862974
0.020000,12.392582,5.369974,8.217873,4.298173,0.483882,-0.008718,5.868938
0.020000,12.471557,5.335538,8.304030,4.307840,0.483362,-0.025979,5.875095
0.020000,12.550924,5.301520,8.390380,4.317491,0.482553,-0.040471,5.881445
