dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,12.011372,11.740061,8.224859,0.522195,0.005445,0.000119,5.696486
0.200000,12.098394,11.681919,8.329516,0.523289,0.005469,0.000121,5.691828
0.200000,12.185319,11.623240,8.434394,0.524388,0.005492,0.000114,5.686951
0.200000,12.272134,11.564005,8.539492,0.525490,0.005514,0.000108,5.681852
0.200000,12.358821,11.504192,8.644811,0.526597,0.005535,0.000105,5.676533
0.200000,12.445364,11.443782,8.750353,0.527708,0.005555,0.000099,5.670991
0.200000,12.531746,11.382755,8.856118,0.528823,0.005573,0.000091,5.665226
0.200000,12.617949,11.321091,8.962106,0.529940,0.005588,0.000075,5.659238
0.200000,12.703957,11.258772,9.068318,0.531061,0.005601,0.000066,5.653026
0.200000,12.789749,11.195777,9.174754,0.532183,0.005612,0.000052,5.646589
0.200000,12.875308,11.132087,9.281416,0.533307,0.005619,0.000036,5.639928
0.200000,12.960612,11.067683,9.388302,0.534431,0.005623,0.000020,5.633041
0.200000,13.045642,11.002547,9.495413,0.535556,0.005622,-0.000003,5.625930
0.200000,13.130377,10.936661,9.602749,0.536679,0.005617,-0.000025,5.618594
0.200000,13.214795,10.870007,9.710309,0.537801,0.005608,-0.000048,5.611033
0.200000,13.298873,10.802566,9.818093,0.538919,0.005593,-0.000075,5.603249
0.200000,13.382589,10.734324,9.926100,0.540034,0.005572,-0.000103,5.595242
0.200000,13.465919,10.665262,10.034328,0.541143,0.005545,-0.000135,5.587013
0.200000,13.548839,10.595366,10.142777,0.542245,0.005512,-0.000168,5.578564
0.200000,13.631324,10.524620,10.251445,0.543339,0.005471,-0.000204,5.569896
0.200000,13.713348,10.453010,10.360330,0.544424,0.005423,-0.000242,5.561011
0.200000,13.794885,10.380523,10.469429,0.545497,0.005366,-0.000281,5.551911
0.200000,13.875909,10.307146,10.578741,0.546557,0.005302,-0.000323,5.542599
0.200000,13.956391,10.232868,10.688261,0.547603,0.005228,-0.000367,5.533078
0.200000,14.036305,10.157677,10.797988,0.548632,0.005146,-0.000412,5.523351
0.200000,14.115622,10.081565,10.907916,0.549643,0.005054,-0.000459,5.513422
0.200000,14.194314,10.004522,11.018043,0.550633,0.004952,-0.000510,5.503295
0.200000,14.272350,9.926542,11.128363,0.551602,0.004840,-0.000559,5.492974
0.200000,14.349702,9.847619,11.238872,0.552545,0.004719,-0.000606,5.482465
0.200000,14.426340,9.767747,11.349565,0.553463,0.004587,-0.000659,5.471771
0.200000,14.502235,9.686924,11.460435,0.554352,0.004445,-0.000710,5.460901
0.200000,14.577355,9.605149,11.571477,0.555210,0.004292,-0.000767,5.449858
0.200000,14.651671,9.522419,11.682685,0.556036,0.004128,-0.000820,5.438650
0.200000,14.725153,9.438737,11.794050,0.556828,0.003957,-0.000854,5.427284
0.200000,14.797771,9.354105,11.905567,0.557583,0.003775,-0.000911,5.415767
0.200000,14.869495,9.268528,12.017226,0.558298,0.003578,-0.000986,5.404107
0.200000,14.940297,9.182011,12.129021,0.558974,0.003381,-0.000984,5.392311
0.200000,15.010146,9.094561,12.240943,0.559608,0.003170,-0.001056,5.380389
0.200000,15.079016,9.006187,12.352982,0.560198,0.002948,-0.001107,5.368348
0.200000,15.146877,8.916900,12.465131,0.560743,0.002727,-0.001105,5.356199
0.200000,15.213703,8.826712,12.577379,0.561241,0.002489,-0.001193,5.343950
0.200000,15.279468,8.735635,12.689718,0.561692,0.002254,-0.001173,5.331611
0.200000,15.344147,8.643686,12.802137,0.562094,0.002011,-0.001216,5.319191
0.200000,15.407715,8.550881,12.914626,0.562445,0.001755,-0.001281,5.306701
0.200000,15.460915,8.471535,13.010155,0.477647,-0.423989,-2.128718,5.304154
0.200000,15.511989,8.396278,13.101107,0.454758,-0.114448,1.547702,5.313203
0.200000,15.563568,8.321763,13.191732,0.453127,-0.008153,0.531475,5.322577
0.200000,15.615662,8.248019,13.282020,0.451441,-0.008431,-0.001387,5.332288
0.200000,15.668277,8.175076,13.371959,0.449694,-0.008736,-0.001528,5.342349
0.200000,15.721422,8.102967,13.461536,0.447887,-0.009033,-0.001482,5.352771
0.200000,15.775104,8.031725,13.550740,0.446015,-0.009359,-0.001629,5.363568
0.200000,15.829329,7.961384,13.639556,0.444080,-0.009675,-0.001583,5.374751
0.200000,15.884104,7.891978,13.727972,0.442081,-0.009996,-0.001603,5.386334
